,head,variable,value
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1081
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1231
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1333
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1084
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi43
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi17
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1299
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi173
6,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi888
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi957
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1309
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1481
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi117
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1231
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1333
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi388
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi838
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi43
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi17
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1299
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi173
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi136
7,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi557
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi877
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi957
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1309
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1231
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1333
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi632
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1238
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi43
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi17
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1299
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1001
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi173
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi136
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi180
8,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi888
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi877
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi1231
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi1238
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi388
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi17
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi1261
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi124
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi1019
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi1001
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi187
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi33
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi180
9,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi557
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi877
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1449
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi659
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi266
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1081
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1231
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1027
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1333
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi632
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1238
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1084
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi43
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi17
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1299
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi1001
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi136
10,Course2_W6-S1-L2_Grammar_Transforms_12-05,concept_vocab_index,vi180
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi877
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi55
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1309
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi47
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1081
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1231
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1027
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1333
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi632
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1238
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi17
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi99
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1299
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi1001
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi49
11,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi180
12,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi388
12,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi1231
12,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi43
12,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi1333
12,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi17
12,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi136
12,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi557
12,Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,concept_vocab_index,vi1299
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi55
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi957
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi47
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi1231
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi1333
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi43
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi17
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi1299
13,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,concept_vocab_index,vi136
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1300
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi461
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi47
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi758
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1231
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1027
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1333
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi632
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1017
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi388
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi43
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi17
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi99
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1299
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi49
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi136
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1176
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi557
14,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1067
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi877
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi55
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi957
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi1326
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi1309
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi1231
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi1238
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi43
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi17
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi1299
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi1001
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi180
15,Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,concept_vocab_index,vi99
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi877
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi912
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1449
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi957
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1309
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1026
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi47
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi117
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi758
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1081
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi305
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1231
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi632
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1238
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi388
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1084
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi43
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi17
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi573
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1299
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi1001
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi366
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi180
16,Course3_W1-S1-L6_-_Background_-_11_slides_16-55,concept_vocab_index,vi557
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi1074
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi1309
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi1231
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi1333
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi43
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi17
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi1299
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi136
17,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi888
18,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi1309
18,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi1231
18,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi388
18,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi17
18,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi1299
18,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi173
18,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi557
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi877
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi1309
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi1231
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi1238
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi17
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi1299
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi1001
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi1018
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi136
19,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi180
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi877
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi55
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi1309
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi1231
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi1238
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi388
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi43
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi17
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi1299
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi1001
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi136
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi180
20,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi557
